customer_id,customer_name,gender,age,city,state,region_id,customer_segment,signup_date,acquisition_channel
C00001,Customer 00001,Male,38,Bhubaneswar,Odisha,R03,Consumer,2023-05-28,Social
C00002,Customer 00002,Male,24,Ahmedabad,Gujarat,R04,Consumer,2023-06-30,Paid Search
C00003,Customer 00003,Female,18,Raipur,Chhattisgarh,R05,Consumer,2024-02-07,Social
C00004,Customer 00004,Male,27,Kolkata,West Bengal,R03,Corporate,2024-06-01,
C00005,Customer 00005,Female,39,Delhi,Delhi,R07,Small Business,2025-04-15,Paid Search
C00006,Customer 00006,Female,51,Ranchi,Jharkhand,R03,Corporate,2024-12-19,Email
C00007,Customer 00007,Male,28,Patna,Bihar,R03,Consumer,2023-04-19,Social
C00008,Customer 00008,Male,34,Bhubaneswar,Odisha,R03,Enterprise,2023-09-20,Organic
C00009,Customer 00009,Male,37,Faridabad,Haryana,R01,Enterprise,2023-06-22,Email
C00010,Customer 00010,Female,29,Ahmedabad,Gujarat,R04,Consumer,2025-12-10,Organic
C00011,Customer 00011,Male,28,Nagpur,Maharashtra,R04,Consumer,2022-10-30,Paid Search
C00012,Customer 00012,Female,38,Kochi,Kerala,R02,Corporate,2024-04-28,Paid Search
C00013,Customer 00013,Female,23,Hyderabad,Telangana,R02,Enterprise,2023-01-09,Organic
C00014,Customer 00014,Female,27,Bhopal,Madhya Pradesh,R05,Small Business,2022-07-12,Email
C00015,Customer 00015,Male,33,Ahmedabad,Gujarat,R04,Corporate,2022-07-19,Referral
C00016,Customer 00016,Male,38,Lucknow,Uttar Pradesh,R07,Corporate,2022-01-30,Referral
C00017,Customer 00017,Female,20,Bengaluru,Karnataka,R02,Enterprise,2025-05-27,Social
C00018,Customer 00018,Male,34,Delhi,Delhi,R07,Consumer,2025-05-03,Paid Search
C00019,Customer 00019,,22,Bhopal,Madhya Pradesh,R05,Consumer,2022-01-02,Referral
C00020,Customer 00020,Other,28,Hyderabad,Telangana,R02,Small Business,2023-01-26,Referral
C00021,Customer 00021,Female,43,Patna,Bihar,R03,Consumer,2023-09-13,Social
C00022,Customer 00022,Female,34,Mumbai,Maharashtra,R04,Consumer,2022-08-14,Social
C00023,Customer 00023,Male,52,Ranchi,Jharkhand,R03,Consumer,2023-06-17,Organic
C00024,Customer 00024,Female,34,Kochi,Kerala,R02,Consumer,2025-09-12,Organic
C00025,Customer 00025,Male,45,Bhubaneswar,,R03,Consumer,2023-07-21,Organic
C00026,Customer 00026,Male,43,Ludhiana,Punjab,R01,Consumer,2024-01-14,Referral
C00027,Customer 00027,Male,35,Ahmedabad,Gujarat,R04,Consumer,2025-05-17,Paid Search
C00028,Customer 00028,Female,22,Delhi,Delhi,R07,Consumer,2022-01-03,Referral
C00029,Customer 00029,Male,34,Gurugram,Haryana,R01,Consumer,2025-04-14,Social
