order_item_id,order_id,product_id,quantity,unit_price,discount_pct,unit_cost
OI00000001,ORD0000001,P00969,3,3001.37,0.1,2504.0
OI00000002,ORD0000001,P01211,2,542.67,0.0,452.92
OI00000003,ORD0000001,P00979,1,1501.11,0.3,1117.15
OI00000004,ORD0000002,P01465,1,1124.0,0.2,975.46
OI00000005,ORD0000002,P00823,3,975.95,0.3,655.17
OI00000006,ORD0000003,P01811,3,3294.39,0.0,2505.27
OI00000007,ORD0000003,P01370,1,712.37,0.05,566.0
OI00000008,ORD0000003,P00070,2,914.31,0.15,732.17
OI00000009,ORD0000003,P00361,1,3849.99,0.1,2818.97
OI00000010,ORD0000004,P00589,2,757.36,0.1,545.88
OI00000011,ORD0000004,P00384,2,237.71,0.5,144.58
OI00000012,ORD0000005,P01600,2,361.06,0.15,285.47
OI00000013,ORD0000006,P00033,1,1342.51,0.1,1230.65
OI00000014,ORD0000006,P01600,1,343.37,0.0,285.47
OI00000015,ORD0000006,P00765,2,2165.54,0.1,1779.1
OI00000016,ORD0000006,P01156,4,924.45,0.05,728.68
OI00000017,ORD0000006,P00388,3,1871.82,0.0,1727.97
OI00000018,ORD0000006,P00125,2,2212.49,0.0,1265.1
OI00000019,ORD0000007,P01962,4,8806.88,0.0,6642.83
OI00000020,ORD0000007,P01174,1,642.99,0.05,396.72
OI00000021,ORD0000007,P01056,1,744.35,0.15,504.12
OI00000022,ORD0000008,P01651,2,661.61,0.1,523.0
OI00000023,ORD0000008,P00613,8,425.65,0.05,260.18
OI00000024,ORD0000008,P00042,3,1093.29,0.1,518.78
OI00000025,ORD0000009,P00878,2,252.24,0.0,212.64
OI00000026,ORD0000010,P00425,1,5429.21,0.0,4177.18
OI00000027,ORD0000010,P00078,8,663.3,0.05,433.68
OI00000028,ORD0000011,P01698,2,342.47,0.0,222.81
OI00000029,ORD0000012,P01574,3,689.82,0.0,523.03
OI00000030,ORD0000012,P00469,1,255.02,0.0,239.65
OI00000031,ORD0000012,P01842,2,1077.47,0.0,892.62
OI00000032,ORD0000012,P00117,6,478.57,0.3,426.7
OI00000033,ORD0000013,P00148,2,1878.59,0.0,1162.89
OI00000034,ORD0000013,P01439,2,357.81,0.1,220.3
OI00000035,ORD0000014,P00464,2,685.48,0.1,344.59
OI00000036,ORD0000014,P01550,2,4462.27,0.0,3380.49
OI00000037,ORD0000014,P01219,8,2008.12,0.15,1491.37
OI00000038,ORD0000015,P00800,4,764.97,0.3,647.29
OI00000039,ORD0000015,P00924,2,162.39,0.1,121.45
OI00000040,ORD0000016,P01443,2,654.64,0.0,404.47
OI00000041,ORD0000017,P01895,3,2461.83,0.0,1801.22
OI00000042,ORD0000017,P01143,1,1705.81,0.15,1237.45
OI00000043,ORD0000018,P01363,2,3011.93,0.15,1933.54
OI00000044,ORD0000019,P00493,1,1116.35,0.1,710.65
OI00000045,ORD0000019,P00476,1,581.05,0.0,508.84
OI00000046,ORD0000019,P00832,2,1178.48,0.05,950.0
OI00000047,ORD0000020,P00796,1,1610.92,0.0,892.13
OI00000048,ORD0000020,P01221,1,1580.84,0.25,1260.39
OI00000049,ORD0000021,P01849,3,521.88,0.0,348.23
OI00000050,ORD0000021,P01700,4,1355.85,0.25,1124.29
OI00000051,ORD0000021,P01751,8,1234.61,0.05,878.43
OI00000052,ORD0000022,P00480,1,1999.27,0.4,1946.58
OI00000053,ORD0000023,P00528,3,2689.89,0.0,1987.56
OI00000054,ORD0000023,P00261,1,1146.66,0.1,700.0
OI00000055,ORD0000023,P01560,1,5338.0,0.1,3394.71
OI00000056,ORD0000023,P01737,2,3773.67,0.0,2541.45
OI00000057,ORD0000023,P00684,4,5763.16,0.1,3142.87
OI00000058,ORD0000023,P01905,4,2062.76,0.0,1760.21
OI00000059,ORD0000024,P01767,3,828.28,0.5,628.64
OI00000060,ORD0000024,P00105,1,2417.81,0.15,1559.11
OI00000061,ORD0000024,P01242,6,320.29,0.05,223.62
OI00000062,ORD0000024,P01925,1,1521.22,0.1,1030.99
OI00000063,ORD0000025,P00018,1,2902.95,0.0,2408.91
OI00000064,ORD0000025,P01485,6,240.91,0.0,191.27
OI00000065,ORD0000025,P00369,1,2386.68,0.5,1692.76
OI00000066,ORD0000026,P01846,2,4000.3,0.2,2767.42
OI00000067,ORD0000027,P01969,1,771.56,0.2,560.07
OI00000068,ORD0000027,P00050,2,3036.63,0.1,2091.26
OI00000069,ORD0000028,P01461,4,1232.35,0.25,717.89
OI00000070,ORD0000029,P01885,5,785.1,0.1,575.13
OI00000071,ORD0000030,P00861,4,258.02,0.0,148.39
OI00000072,ORD0000030,P00363,2,329.43,0.0,233.13
OI00000073,ORD0000031,P01439,2,380.05,0.2,220.3
OI00000074,ORD0000031,P00159,3,493.86,0.1,350.34
OI00000075,ORD0000031,P01949,3,2511.79,0.1,1865.1
OI00000076,ORD0000032,P01723,2,172.96,0.1,102.28
OI00000077,ORD0000032,P01954,1,3767.91,0.0,3341.69
OI00000078,ORD0000032,P01592,1,574.75,0.05,505.82
OI00000079,ORD0000032,P01391,2,2384.08,0.1,1616.8
OI00000080,ORD0000032,P00895,1,1157.01,0.0,878.1
OI00000081,ORD0000033,P00158,1,1820.83,0.25,1262.65
OI00000082,ORD0000034,P01696,1,1851.12,0.0,1280.24
OI00000083,ORD0000035,P00748,1,1109.07,0.2,653.84
OI00000084,ORD0000035,P01768,4,687.28,0.4,619.62
OI00000085,ORD0000036,P00461,1,1062.48,0.1,862.23
OI00000086,ORD0000037,P00019,1,2790.46,0.25,1957.64
OI00000087,ORD0000038,P00660,3,1373.9,0.1,1192.69
OI00000088,ORD0000038,P00123,1,350.07,0.0,245.28
OI00000089,ORD0000039,P01520,1,1275.79,0.0,1010.91
OI00000090,ORD0000040,P01172,4,595.58,0.0,421.0
OI00000091,ORD0000040,P00364,1,406.35,0.0,379.12
OI00000092,ORD0000041,P00085,4,860.82,0.1,624.27
OI00000093,ORD0000041,P00030,1,1982.47,0.0,1254.54
OI00000094,ORD0000042,P01280,1,1145.62,0.05,789.54
OI00000095,ORD0000042,P01338,1,1257.98,0.05,943.74
OI00000096,ORD0000042,P00689,1,838.48,0.05,631.08
OI00000097,ORD0000043,P01750,3,826.45,0.0,663.91
OI00000098,ORD0000043,P01007,6,3992.98,0.25,3546.39
OI00000099,ORD0000043,P01254,3,289.01,0.1,193.33
OI00000100,ORD0000044,P01834,1,3678.7,0.0,2506.63
OI00000101,ORD0000045,P00238,1,199.7,0.0,147.57
OI00000102,ORD0000045,P01488,1,2239.12,0.15,1626.37
OI00000103,ORD0000045,P00981,2,1013.48,0.1,741.35
OI00000104,ORD0000046,P00720,1,2552.25,0.25,1990.66
OI00000105,ORD0000046,P01317,2,3271.2,0.2,2666.57
OI00000106,ORD0000046,P01804,3,101.04,0.25,62.69
OI00000107,ORD0000047,P01885,2,691.89,0.3,575.13
OI00000108,ORD0000048,P00965,1,321.03,0.15,232.93
OI00000109,ORD0000049,P01060,1,396.47,0.1,338.06
OI00000110,ORD0000049,P00762,3,586.72,0.1,448.52
OI00000111,ORD0000050,P01872,3,607.86,0.5,458.29
OI00000112,ORD0000051,P01881,1,540.24,0.0,442.4
OI00000113,ORD0000052,P01002,4,1114.3,0.0,542.68
OI00000114,ORD0000053,P00042,5,1259.39,0.15,518.78
OI00000115,ORD0000053,P00729,3,101.78,0.0,76.22
OI00000116,ORD0000053,P01100,1,1821.51,0.0,1629.37
OI00000117,ORD0000054,P01632,1,355.25,0.0,267.64
OI00000118,ORD0000054,P01873,6,889.58,0.0,638.87
OI00000119,ORD0000055,P00138,2,978.1,0.0,760.66
OI00000120,ORD0000055,P01870,1,1386.49,0.05,1192.49
OI00000121,ORD0000055,P00421,1,2101.66,0.1,1331.44
OI00000122,ORD0000056,P00312,3,858.61,0.2,651.75
OI00000123,ORD0000056,P01881,2,577.48,0.0,442.4
OI00000124,ORD0000056,P01639,6,7080.21,0.1,4665.18
OI00000125,ORD0000057,P01830,1,2443.72,0.1,1798.51
OI00000126,ORD0000057,P00748,2,1112.49,0.0,653.84
OI00000127,ORD0000058,P01003,1,572.56,0.15,368.57
OI00000128,ORD0000058,P01541,1,4431.66,0.1,2704.19
OI00000129,ORD0000059,P01311,1,2952.39,0.05,2145.53
OI00000130,ORD0000060,P00010,1,579.82,0.3,448.1
OI00000131,ORD0000061,P01647,2,1043.31,0.05,660.86
OI00000132,ORD0000061,P00050,2,3186.48,0.15,2091.26
OI00000133,ORD0000062,P00196,3,8263.55,0.0,4243.25
OI00000134,ORD0000062,P00417,10,462.16,0.4,331.31
OI00000135,ORD0000063,P01373,1,256.77,0.0,215.2
OI00000136,ORD0000063,P01153,8,403.14,0.05,262.4
OI00000137,ORD0000064,P01725,5,97.46,0.2,76.82
OI00000138,ORD0000064,P01882,2,4912.01,0.15,3632.11
OI00000139,ORD0000064,P00244,1,4967.37,0.2,4163.25
OI00000140,ORD0000065,P01628,6,359.77,0.1,258.97
OI00000141,ORD0000065,P01535,3,2457.07,0.0,1683.34
OI00000142,ORD0000066,P00355,1,754.99,0.15,573.49
OI00000143,ORD0000066,P00042,3,1180.62,0.05,518.78
OI00000144,ORD0000067,P00372,4,479.17,0.1,435.13
