order_id,order_date,customer_id,region_id,channel_id,payment_method,order_status
ORD0000001,2025-12-01,C00024,R02,CH01,COD,Completed
ORD0000002,2025-01-29,C06641,R07,CH01,Net Banking,Completed
ORD0000003,2026-02-08,C07174,R02,CH02,Net Banking,Completed
ORD0000004,2025-10-11,C04532,R04,CH01,Wallet,Completed
ORD0000005,2024-04-05,C01534,R03,CH02,Net Banking,Completed
ORD0000006,2026-06-06,C03942,R01,CH01,COD,Completed
ORD0000007,2025-11-22,C02840,R07,CH01,COD,Pending
ORD0000008,2025-12-09,C04501,R07,CH02,COD,Completed
ORD0000009,2024-05-09,C05366,R02,CH01,Debit Card,Completed
ORD0000010,2025-02-09,C08666,R02,CH02,Cash,Completed
ORD0000011,2024-12-05,C07060,R04,CH02,Wallet,Completed
ORD0000012,2026-04-18,C00768,R07,CH01,Wallet,Completed
ORD0000013,2025-08-24,C02612,R05,CH04,Debit Card,Pending
ORD0000014,2026-01-02,C02089,R03,CH01,COD,Cancelled
ORD0000015,2025-02-02,C04284,R01,CH01,Credit Card,Completed
ORD0000016,2024-08-18,C04790,R03,CH01,Debit Card,Completed
ORD0000017,2025-05-26,C04670,R01,CH01,COD,Completed
ORD0000018,2024-03-05,C01736,R03,CH01,COD,Completed
ORD0000019,2026-01-07,C03042,R02,CH02,Net Banking,Completed
ORD0000020,2025-08-12,C00724,R03,CH03,Cash,Completed
ORD0000021,2025-11-20,C02330,R02,CH04,COD,Completed
ORD0000022,2024-11-25,C09070,R04,CH02,Wallet,Completed
ORD0000023,2026-06-01,C02174,R01,CH01,UPI,Completed
ORD0000024,2026-03-15,C05093,R04,CH01,UPI,Partially Returned
ORD0000025,2025-12-04,C09292,R05,CH01,UPI,Partially Returned
ORD0000026,2024-07-16,C04769,R07,CH01,Wallet,Completed
ORD0000027,2025-02-26,C00035,R02,CH01,Credit Card,Completed
ORD0000028,2024-02-14,C07413,R07,CH04,UPI,Completed
ORD0000029,2024-06-05,C04357,R02,CH01,Credit Card,Completed
ORD0000030,2025-10-02,C05576,R01,CH01,Net Banking,Completed
ORD0000031,2025-11-12,C02464,R02,CH01,Credit Card,Completed
ORD0000032,2026-05-29,C02957,R01,CH02,UPI,Completed
ORD0000033,2024-11-06,C00585,R02,CH01,Debit Card,Cancelled
ORD0000034,2024-12-05,C04604,R02,CH02,UPI,Completed
ORD0000035,2025-03-01,C09782,R02,CH04,UPI,Completed
ORD0000036,2024-07-10,C03679,R01,CH01,Wallet,Completed
ORD0000037,2024-05-11,C07791,R03,CH01,Credit Card,Completed
ORD0000038,2025-03-07,C07060,R04,CH01,Credit Card,Completed
ORD0000039,2024-08-17,C01362,R04,CH03,Debit Card,Completed
ORD0000040,2025-09-20,C08071,R04,CH02,Wallet,Completed
ORD0000041,2025-01-27,C08905,R02,CH03,COD,Completed
ORD0000042,2026-01-13,C09507,R02,CH03,UPI,Completed
ORD0000043,2025-10-13,C02263,R04,CH02,Debit Card,Completed
ORD0000044,2024-10-28,C01189,R01,CH01,Net Banking,Completed
ORD0000045,2026-01-12,C01385,R02,CH02,Credit Card,Completed
ORD0000046,2025-12-21,C08071,R04,CH03,UPI,Returned
ORD0000047,2024-12-16,C04826,R04,CH04,UPI,Completed
ORD0000048,2024-10-12,C05655,R01,CH04,COD,Completed
ORD0000049,2025-10-01,C00960,R02,CH03,UPI,Completed
ORD0000050,2024-05-21,C04918,R02,CH02,UPI,Completed
ORD0000051,2024-07-21,C01919,R02,CH01,UPI,Returned
ORD0000052,2024-01-08,C04679,R07,CH02,Credit Card,Completed
ORD0000053,2025-12-09,C06318,R03,CH02,Wallet,Completed
ORD0000054,2025-09-14,C09358,R02,CH03,Credit Card,Completed
ORD0000055,2025-10-17,C08612,R03,CH01,UPI,Completed
ORD0000056,2025-12-05,C06139,R01,CH01,Net Banking,Completed
ORD0000057,2025-02-18,C01768,R07,CH01,Credit Card,Completed
ORD0000058,2025-06-09,C00930,R03,CH03,COD,Completed
