product_id,product_name,category,subcategory,brand,unit_cost,standard_price,supplier_id,launch_date
P00001,Home Appliances Product 0001,Home Appliances,Cleaning,Apex,1400.0,423.89,S0296,2023-04-08
P00002,Office Supplies Product 0002,,Printing,TechOne,159.4,268.65,S0004,2024-09-28
P00003,Home Appliances Product 0003,Home Appliances,Kitchen,HomePro,2633.96,4640.93,S0110,2021-03-08
P00004,Clothing Product 0004,Clothing,Women,Apex,9600.41,13528.11,S0222,2024-08-17
P00005,Electronics Product 0005,,Accessories,Prime,501.53,745.7,S0150,2022-02-17
P00006,Accessories Product 0006,Accessories,Travel,Vertex,238.83,320.43,S0238,2024-06-30
P00007,Home Appliances Product 0007,Home Appliances,Cleaning,Urbanix,86.78,128.14,S0143,2023-06-30
P00008,Home Appliances Product 0008,Home Appliances,Cooling,HomePro,656.74,940.08,S0020,2021-02-17
P00009,Electronics Product 0009,Electronics,Laptops,Nova,633.33,874.55,S0131,2024-10-22
P00010,Office Supplies Product 0010,Office Supplies,Stationery,Nova,448.1,625.64,S0122,2022-04-20
P00011,Furniture Product 0011,Furniture,Desks,Prime,1025.4,1497.35,S0254,2025-10-04
P00012,Accessories Product 0012,Accessories,Travel,TechOne,1352.95,1781.57,S0045,2025-03-13
P00013,Clothing Product 0013,Clothing,Kids,HomePro,1250.29,1657.66,S0047,2021-12-18
P00014,Home Appliances Product 0014,Home Appliances,Cleaning,Apex,489.22,874.76,S0043,2024-01-02
P00015,Office Supplies Product 0015,Office Supplies,Paper,Apex,183.03,398.8,S0171,2022-10-23
P00016,Furniture Product 0016,furniture,Chairs,Nova,1986.05,2335.33,S0299,2024-01-05
P00017,Office Supplies Product 0017,Office Supplies,Paper,Urbanix,1040.07,1215.11,S0186,2023-10-14
P00018,Electronics Product 0018,Electronics,Laptops,Nova,2408.91,2917.36,S0245,2022-06-25
P00019,Home Appliances Product 0019,Home Appliances,Kitchen,TechOne,1957.64,2644.28,S0256,2024-04-03
P00020,Clothing Product 0020,Clothing,Kids,TechOne,185.43,289.55,S0181,2022-04-20
P00021,Home Appliances Product 0021,Home Appliances,Kitchen,Urbanix,0.0,285.96,S0183,2025-07-14
P00022,Furniture Product 0022,Furniture,Chairs,Urbanix,401.81,563.71,S0073,2025-09-24
P00023,Accessories Product 0023,Accessories,Personal Accessories,Urbanix,282.56,417.3,S0289,2021-10-30
P00024,Accessories Product 0024,Accessories,Watches,ValueMax,2041.0,2553.78,S0237,2024-08-21
P00025,Home Appliances Product 0025,Home Appliances,Cleaning,Prime,1286.36,1705.11,S0262,2025-08-24
P00026,Electronics Product 0026,Electronics,Laptops,TechOne,2636.74,3602.06,S0296,2021-08-20
P00027,Office Supplies Product 0027,Office Supplies,Stationery,Prime,1584.86,1783.91,S0105,2024-09-11
P00028,Electronics Product 0028,Electronics,Mobiles,HomePro,1250.94,1478.42,S0044,2025-09-08
P00029,Electronics Product 0029,Electronics,Audio,Apex,3354.36,3983.06,S0258,2022-02-15
P00030,Clothing Product 0030,Clothing,Women,Urbanix,1254.54,1919.47,S0142,2023-11-29
P00031,Home Appliances Product 0031,Home Appliances,Cooling,ValueMax,906.22,1284.57,S0288,2024-12-27
P00032,Accessories Product 0032,Accessories,Personal Accessories,HomePro,3527.69,5273.92,S0209,2022-09-01
P00033,Furniture Product 0033,Furniture,Desks,TechOne,1230.65,1346.49,S0078,2022-03-11
P00034,Furniture Product 0034,Furniture,Desks,ValueMax,777.46,885.13,S0107,2022-12-26
P00035,Office Supplies Product 0035,Office Supplies,Paper,Vertex,344.57,519.18,S0184,2022-09-05
P00036,Electronics Product 0036,Electronics,Laptops,Nova,2326.88,2423.83,S0119,2024-08-16
P00037,Electronics Product 0037,Electronics,Audio,Apex,1100.0,4134.52,S0085,2022-11-08
P00038,Office Supplies Product 0038,Office Supplies,Writing,Urbanix,1040.8,1140.81,S0063,2022-11-18
P00039,Furniture Product 0039,Furniture,Desks,Prime,2865.56,4438.15,S0195,2025-09-20
P00040,Clothing Product 0040,Clothing,Women,Vertex,137.04,167.35,S0011,2023-11-23
P00041,Office Supplies Product 0041,Office Supplies,Paper,Prime,709.67,1135.27,S0029,2025-08-24
P00042,Home Appliances Product 0042,Home Appliances,Cooling,Prime,518.78,1152.84,S0013,2024-07-20
P00043,Clothing Product 0043,Clothing,Footwear,Urbanix,555.27,580.03,S0221,2025-06-04
P00044,Furniture Product 0044,Furniture,Chairs,HomePro,8596.6,13016.04,S0009,2021-12-23
P00045,Home Appliances Product 0045,Home Appliances,Cleaning,Apex,1022.97,1123.14,S0126,2025-09-09
P00046,Home Appliances Product 0046,Home Appliances,Kitchen,Prime,548.61,798.19,S0037,2025-09-20
P00047,Office Supplies Product 0047,Office Supplies,Paper,Nova,924.5,1231.56,S0177,2021-03-16
P00048,Furniture Product 0048,Furniture,Chairs,Apex,116.12,161.95,S0011,2022-10-13
P00049,Clothing Product 0049,Clothing,Women,Vertex,460.9,561.27,S0008,2023-01-25
P00050,Electronics Product 0050,Electronics,Mobiles,Urbanix,2091.26,3207.72,S0124,2023-02-05
P00051,Electronics Product 0051,Electronics,Mobiles,Prime,559.7,639.78,S0209,2024-11-21
P00052,Electronics Product 0052,Electronics,Mobiles,Vertex,317.37,523.85,S0033,2024-06-28
P00053,Home Appliances Product 0053,Home Appliances,Small Appliances,Prime,3426.99,4445.3,S0149,2022-01-24
P00054,Clothing Product 0054,Clothing,Footwear,Urbanix,3989.33,4584.02,S0244,2024-01-17
P00055,Clothing Product 0055,Clothing,Men,TechOne,1148.07,2012.37,S0188,2025-11-14
P00056,Home Appliances Product 0056,Home Appliances,Cleaning,TechOne,560.84,761.25,S0226,2023-03-15
P00057,Office Supplies Product 0057,Office Supplies,Printing,Nova,509.28,944.45,S0095,2025-08-21
P00058,Clothing Product 0058,Clothing,Kids,Apex,326.4,536.96,S0283,2024-03-31
P00059,Electronics Product 0059,Electronics,Laptops,HomePro,359.37,443.77,S0044,2025-08-16
P00060,Electronics Product 0060,Electronics,Audio,Prime,311.85,422.28,S0182,2025-07-06
P00061,Clothing Product 0061,Clothing,Men,Prime,464.33,646.79,S0131,2021-01-31
P00062,Office Supplies Product 0062,Office Supplies,Stationery,TechOne,246.18,426.39,S0010,2024-12-31
P00063,Clothing Product 0063,Clothing,Kids,Prime,172.41,251.23,S0284,2021-12-12
P00064,Home Appliances Product 0064,Home Appliances,Cooling,Nova,1064.57,1494.4,S0211,2025-02-13
P00065,Clothing Product 0065,Clothing,Footwear,Urbanix,1137.94,1517.28,S0069,2025-01-14
P00066,Office Supplies Product 0066,Office Supplies,Paper,Urbanix,4832.22,6573.95,S0016,2022-04-17
P00067,Office Supplies Product 0067,Office Supplies,Printing,Prime,368.76,615.07,S0203,2021-05-01
P00068,Furniture Product 0068,Furniture,Desks,Vertex,1177.28,1613.53,S0164,2023-02-05
P00069,Electronics Product 0069,Electronics,Audio,Vertex,1262.4,1640.55,S0015,2022-07-07
P00070,Office Supplies Product 0070,Office Supplies,Stationery,ValueMax,732.17,930.98,S0296,2023-10-08
P00071,Electronics Product 0071,Electronics,Laptops,Vertex,1983.9,2526.05,S0216,2021-05-30
P00072,Office Supplies Product 0072,Office Supplies,Printing,HomePro,2267.17,2605.31,S0139,2021-03-22
P00073,Home Appliances Product 0073,Home Appliances,Small Appliances,HomePro,1340.27,1664.85,S0072,2023-03-09
P00074,Furniture Product 0074,Furniture,Home Office,Apex,539.15,929.31,S0082,2024-11-05
P00075,Electronics Product 0075,Electronics,Mobiles,ValueMax,630.01,839.28,S0136,2022-07-29
P00076,Furniture Product 0076,Furniture,Chairs,Nova,201.57,305.61,S0018,2022-08-14
P00077,Furniture Product 0077,Furniture,Home Office,Urbanix,514.57,536.01,S0111,2021-10-27
P00078,Clothing Product 0078,Clothing,Kids,Vertex,433.68,644.24,S0066,2022-05-31
P00079,Office Supplies Product 0079,Office Supplies,Stationery,Apex,290.98,389.98,S0034,2022-06-30
P00080,Home Appliances Product 0080,Home Appliances,Small Appliances,HomePro,1449.77,1863.11,S0038,2022-04-19
P00081,Clothing Product 0081,Clothing,Footwear,ValueMax,2826.78,3970.73,S0104,2022-09-20
