return_id,order_id,product_id,return_date,return_quantity,return_reason,return_status
RET0000001,ORD0020987,P01378,2025-12-26,1,Quality Issue,Processed
RET0000002,ORD0015453,P00400,2026-04-01,2,Customer Changed Mind,Pending
RET0000003,ORD0039542,P01353,2024-02-06,1,Incorrect Size,Approved
RET0000004,ORD0083575,P01523,2026-02-07,1,Wrong Product,Approved
RET0000005,ORD0052778,P01038,2024-02-27,1,Late Delivery,Processed
RET0000006,ORD0098559,P00178,2024-06-23,1,Wrong Product,Approved
RET0000007,ORD0011121,P01395,2026-04-05,1,Customer Changed Mind,Processed
RET0000008,ORD0077800,P01449,2025-09-09,1,Damaged,Processed
RET0000009,ORD0001637,P01379,2025-01-18,2,Damaged,Processed
RET0000010,ORD0028227,P01323,2026-04-19,1,Quality Issue,Approved
RET0000011,ORD0117262,P00517,2025-12-03,1,Wrong Product,Approved
RET0000012,ORD0000871,P00415,2025-11-23,2,Wrong Product,Rejected
RET0000013,ORD0037706,P01707,2024-03-27,3,Incorrect Size,Approved
RET0000014,ORD0097809,P01538,2025-03-28,1,Damaged,Processed
RET0000015,ORD0009445,P01196,2025-11-08,1,Late Delivery,Approved
RET0000016,ORD0083766,P01636,2024-12-28,1,Late Delivery,Approved
RET0000017,ORD0049279,P01428,2025-04-02,3,Wrong Product,Approved
RET0000018,ORD0063191,P00785,2026-07-13,1,Customer Changed Mind,Approved
RET0000019,ORD0113963,P01716,2024-09-11,1,Damaged,Processed
RET0000020,ORD0102505,P01685,2025-11-02,1,Quality Issue,Processed
RET0000021,ORD0115920,P01281,2025-05-28,2,Wrong Product,Rejected
RET0000022,ORD0054869,P01709,2025-09-21,1,Wrong Product,Rejected
RET0000023,ORD0115238,P01765,2025-12-25,1,Customer Changed Mind,Approved
RET0000024,ORD0007438,P01142,2024-12-01,1,Incorrect Size,Approved
RET0000025,ORD0054404,P00104,2025-07-14,1,Quality Issue,Rejected
RET0000026,ORD0015711,P00949,2026-07-17,1,Incorrect Size,Approved
RET0000027,ORD0025668,P01978,2025-11-15,1,Quality Issue,Approved
RET0000028,ORD0050583,P00508,2025-04-12,1,Quality Issue,Approved
RET0000029,ORD0008417,P00267,2026-05-27,1,Customer Changed Mind,Processed
RET0000030,ORD0025446,P01779,2025-09-08,1,Incorrect Size,Approved
RET0000031,ORD0043285,P01754,2026-06-05,2,Late Delivery,Approved
RET0000032,ORD0001048,P00177,2025-12-07,1,Customer Changed Mind,Processed
RET0000033,ORD0027289,P00488,2026-01-10,1,Quality Issue,Processed
RET0000034,ORD0024479,P00307,2026-02-04,1,Late Delivery,Approved
RET0000035,ORD0067645,P01782,2025-09-28,1,Damaged,Processed
RET0000036,ORD0006186,P01904,2025-12-11,1,Customer Changed Mind,Approved
RET0000037,ORD0051353,P00347,2026-04-13,1,Customer Changed Mind,Approved
RET0000038,ORD0069375,P01910,2026-03-14,2,Incorrect Size,Approved
RET0000039,ORD0010238,P01588,2024-08-09,1,Customer Changed Mind,Approved
RET0000040,ORD0043279,P00640,2025-05-12,2,Quality Issue,Approved
RET0000041,ORD0075885,P00916,2025-05-21,1,Customer Changed Mind,Rejected
RET0000042,ORD0112591,P01233,2025-11-04,1,Quality Issue,Approved
RET0000043,ORD0057502,P00226,2025-11-25,2,Damaged,Pending
RET0000044,ORD0079930,P00051,2024-06-17,2,Incorrect Size,Approved
RET0000045,ORD0016290,P00412,2025-04-28,1,Customer Changed Mind,Approved
RET0000046,ORD0075971,P00030,2025-11-02,3,Wrong Product,Processed
RET0000047,ORD0006455,P00420,2025-10-23,1,Wrong Product,Rejected
RET0000048,ORD0105789,P00697,2026-02-26,2,Wrong Product,Approved
RET0000049,ORD0023564,P00728,2024-05-09,1,Customer Changed Mind,Approved
RET0000050,ORD0072885,P01557,2026-06-16,3,Quality Issue,Processed
RET0000051,ORD0008953,P00941,2024-12-02,1,Incorrect Size,Approved
RET0000052,ORD0067311,P01864,2024-06-18,1,Quality Issue,Processed
RET0000053,ORD0022923,P01073,2026-01-12,1,Late Delivery,Processed
RET0000054,ORD0083430,P00423,2025-08-15,3,Customer Changed Mind,Approved
RET0000055,ORD0060762,P01118,2026-06-28,1,Quality Issue,Rejected
RET0000056,ORD0115314,P01040,2026-06-16,2,Incorrect Size,Approved
RET0000057,ORD0016938,P00063,2025-07-08,2,Wrong Product,Rejected
RET0000058,ORD0066686,P00430,2025-12-05,2,Incorrect Size,Pending
RET0000059,ORD0110993,P00125,2026-07-29,1,Customer Changed Mind,Processed
RET0000060,ORD0073256,P00530,2025-12-13,1,Quality Issue,Pending
RET0000061,ORD0016751,P01615,2024-08-15,1,Incorrect Size,Processed
RET0000062,ORD0117237,P00237,2026-07-07,1,Quality Issue,Approved
RET0000063,ORD0050318,P01063,2026-05-15,1,Damaged,Approved
RET0000064,ORD0021940,P00987,2025-06-24,2,Quality Issue,Approved
RET0000065,ORD0018456,P01954,2026-05-11,3,Damaged,Approved
RET0000066,ORD0077257,P00578,2024-12-05,1,Quality Issue,Processed
RET0000067,ORD0058032,P00285,2026-02-08,2,Wrong Product,Processed
RET0000068,ORD0049317,P01551,2026-05-02,1,Quality Issue,Processed
RET0000069,ORD0010588,P01760,2026-06-18,1,Incorrect Size,Approved
RET0000070,ORD0039127,P00342,2025-02-06,1,Wrong Product,Approved
RET0000071,ORD0040135,P01800,2025-07-16,1,Customer Changed Mind,Approved
RET0000072,ORD0108450,P01544,2024-12-19,1,Quality Issue,Pending
RET0000073,ORD0031903,P01619,2026-01-06,2,Customer Changed Mind,Approved
RET0000074,ORD0115245,P00144,2025-03-11,1,Wrong Product,Approved
RET0000075,ORD0080845,P00948,2026-07-13,1,Damaged,Approved
RET0000076,ORD0015151,P01176,2024-02-29,1,Customer Changed Mind,Pending
RET0000077,ORD0015185,P01265,2026-07-10,1,Quality Issue,Approved
RET0000078,ORD0061543,P01255,2025-03-04,1,Late Delivery,Processed
RET0000079,ORD0036778,P01627,2026-05-31,1,Damaged,Approved
RET0000080,ORD0039477,P00954,2025-10-05,1,Customer Changed Mind,Approved
RET0000081,ORD0046086,P01886,2025-09-14,1,Customer Changed Mind,Processed
RET0000082,ORD0119258,P00017,2025-11-13,2,Wrong Product,Processed
RET0000083,ORD0012416,P00247,2026-06-27,1,Quality Issue,Processed
RET0000084,ORD0077724,P00001,2025-02-28,1,Customer Changed Mind,Approved
RET0000085,ORD0110210,P00992,2024-07-29,1,Late Delivery,Pending
RET0000086,ORD0015539,P00239,2025-08-09,1,Incorrect Size,Processed
RET0000087,ORD0115107,P00707,2024-11-24,1,Late Delivery,Pending
RET0000088,ORD0023501,P00001,2024-12-06,1,Quality Issue,Approved
RET0000089,ORD0069105,P01348,2026-01-09,1,Damaged,Approved
RET0000090,ORD0005467,P01387,2025-12-22,2,Wrong Product,Approved
RET0000091,ORD0119472,P00571,2025-06-04,3,Damaged,Processed
RET0000092,ORD0013124,P01789,2026-05-25,2,Quality Issue,Processed
RET0000093,ORD0083224,P00175,2025-12-02,1,Incorrect Size,Processed
RET0000094,ORD0087411,P01119,2024-11-16,1,Wrong Product,Approved
RET0000095,ORD0109921,P01004,2026-01-11,1,Wrong Product,Approved
RET0000096,ORD0073586,P00536,2025-08-07,1,Customer Changed Mind,Approved
RET0000097,ORD0111627,P00355,2024-11-14,1,Quality Issue,Rejected
RET0000098,ORD0038975,P01766,2025-11-21,3,Quality Issue,Approved
RET0000099,ORD0049562,P00788,2026-01-26,1,Quality Issue,Approved
RET0000100,ORD0013409,P01494,2024-05-29,1,Incorrect Size,Approved
RET0000101,ORD0034428,P00159,2025-06-14,1,Wrong Product,Approved
RET0000102,ORD0099731,P00235,2026-03-17,2,Quality Issue,Pending
RET0000103,ORD0101906,P00902,2025-02-14,1,Late Delivery,Approved
RET0000104,ORD0100890,P00212,2025-12-17,1,Customer Changed Mind,Pending
RET0000105,ORD0119389,P00851,2025-04-18,2,Incorrect Size,Processed
RET0000106,ORD0086542,P00785,2025-06-22,2,Damaged,Processed
RET0000107,ORD0024459,P00713,2026-01-20,1,Quality Issue,Approved
RET0000108,ORD0037532,P01970,2024-10-02,1,Quality Issue,Processed
RET0000109,ORD0102576,P00623,2026-07-28,1,Incorrect Size,Processed
RET0000110,ORD0024856,P01745,2026-02-25,1,Late Delivery,Approved
RET0000111,ORD0020712,P01729,2025-02-18,3,Customer Changed Mind,Rejected
RET0000112,ORD0096822,P00856,2025-01-03,3,Quality Issue,Approved
RET0000113,ORD0070879,P00771,2025-05-27,1,Quality Issue,Approved
RET0000114,ORD0037771,P01000,2026-06-09,1,Late Delivery,Approved
RET0000115,ORD0022202,P01783,2026-05-23,1,Quality Issue,Processed
RET0000116,ORD0095490,P00626,2025-03-17,1,Wrong Product,Approved
RET0000117,ORD0021603,P00541,2026-03-30,1,Quality Issue,Approved
RET0000118,ORD0107907,P00211,2026-01-12,1,Incorrect Size,Approved
RET0000119,ORD0008554,P00157,2025-11-11,1,Customer Changed Mind,Approved
RET0000120,ORD0041896,P00865,2026-04-09,1,Customer Changed Mind,Approved
RET0000121,ORD0010911,P01747,2025-10-24,1,Incorrect Size,Rejected
RET0000122,ORD0092965,P00556,2026-07-07,1,Quality Issue,Approved
RET0000123,ORD0058010,P01515,2024-07-26,2,Incorrect Size,Pending
RET0000124,ORD0119278,P00256,2024-12-05,1,Customer Changed Mind,Processed
RET0000125,ORD0075587,P00306,2025-08-26,2,Incorrect Size,Processed
RET0000126,ORD0033798,P00297,2026-07-10,1,Damaged,Pending
RET0000127,ORD0039889,P01756,2026-03-30,1,Late Delivery,Approved
RET0000128,ORD0052251,P00299,2026-03-03,1,Customer Changed Mind,Processed
RET0000129,ORD0030689,P01589,2025-01-08,1,Quality Issue,Approved
RET0000130,ORD0008154,P01270,2026-03-22,1,Incorrect Size,Approved
RET0000131,ORD0057943,P00084,2025-12-21,1,Quality Issue,Approved
RET0000132,ORD0070656,P01381,2026-06-20,1,Quality Issue,Processed
RET0000133,ORD0004193,P00743,2025-06-19,1,Customer Changed Mind,Rejected
RET0000134,ORD0081871,P00945,2025-12-21,1,Late Delivery,Approved
RET0000135,ORD0059434,P01055,2026-05-03,1,Late Delivery,Processed
RET0000136,ORD0027426,P01816,2025-02-26,3,Damaged,Approved
RET0000137,ORD0068265,P00080,2026-06-15,1,Late Delivery,Approved
RET0000138,ORD0092096,P00884,2023-01-01,1,Incorrect Size,Approved
RET0000139,ORD0061920,P00799,2025-08-20,1,Quality Issue,Processed
RET0000140,ORD0075941,P00543,2026-01-18,1,Quality Issue,Processed
RET0000141,ORD0105868,P00390,2024-03-23,1,Customer Changed Mind,Approved
