target_month,region_id,sales_target,profit_target
2024-01-01,R01,1627027.48,243239.08
2024-01-01,R02,1766686.57,305218.29
2024-01-01,R03,505392.62,99969.7
2024-01-01,R04,1605880.51,290256.14
2024-01-01,R05,561387.49,84508.32
2024-01-01,R06,961816.74,186023.87
2024-01-01,R07,1412377.45,259946.01
2024-01-01,R08,1081633.43,141100.69
2024-01-01,R09,1265064.9,146423.11
2024-01-01,R10,1715591.43,286246.08
2024-02-01,R01,1600844.77,227171.62
2024-02-01,R02,1951651.74,371557.22
2024-02-01,R03,1634332.77,208406.0
2024-02-01,R04,1120089.66,127625.64
2024-02-01,R05,604577.66,103669.6
2024-02-01,R06,1578857.56,311154.74
2024-02-01,R07,887611.84,127231.5
2024-02-01,R08,1124767.09,142904.38
2024-02-01,R09,564370.48,86243.4
2024-02-01,R10,724400.43,123353.27
2024-03-01,R01,1071300.67,198127.46
2024-03-01,R02,1505437.42,207920.47
2024-03-01,R03,1723228.67,314366.53
2024-03-01,R04,989339.33,134500.22
2024-03-01,R05,1476117.58,180939.13
2024-03-01,R06,679848.53,75233.81
2024-03-01,R07,1648425.22,279962.9
2024-03-01,R08,1513522.87,272836.13
2024-03-01,R09,1107211.03,178467.7
2024-03-01,R10,580665.05,69858.48
2024-04-01,R01,1452864.89,221414.66
2024-04-01,R02,1282639.58,229399.96
2024-04-01,R03,1397285.23,223317.12
2024-04-01,R04,1272691.82,174811.23
2024-04-01,R05,400849.43,59848.65
2024-04-01,R06,704064.71,103333.87
2024-04-01,R07,1758115.07,230408.99
2024-04-01,R08,446199.52,60381.75
2024-04-01,R09,834429.7,141496.32
2024-04-01,R10,1269103.05,229137.62
2024-05-01,R01,1446117.34,211964.39
2024-05-01,R02,1693133.63,211688.37
2024-05-01,R03,387474.92,45762.46
2024-05-01,R04,1541892.93,233703.09
2024-05-01,R05,616098.44,95553.19
2024-05-01,R06,601314.97,103828.35
2024-05-01,R07,1086157.85,156723.79
2024-05-01,R08,847494.95,141298.96
2024-05-01,R09,946990.81,111639.32
2024-05-01,R10,544709.74,107074.02
2024-06-01,R01,1849158.14,319855.62
2024-06-01,R02,788685.44,155549.17
2024-06-01,R03,1634938.99,285329.74
2024-06-01,R04,1091446.48,146801.45
2024-06-01,R05,509045.09,97346.84
2024-06-01,R06,1102030.88,141294.36
2024-06-01,R07,854828.43,138593.13
2024-06-01,R08,641675.09,120054.38
2024-06-01,R09,1601557.22,279874.79
2024-06-01,R10,1062953.52,176936.9
2024-07-01,R01,1313761.65,221350.7
2024-07-01,R02,489333.13,72138.79
2024-07-01,R03,418663.39,64666.4
2024-07-01,R04,894271.0,110001.75
2024-07-01,R05,520614.9,84801.93
2024-07-01,R06,631478.4,122040.03
2024-07-01,R07,1308750.88,184819.55
2024-07-01,R08,1325010.56,148470.54
2024-07-01,R09,1931622.7,296325.04
2024-07-01,R10,1641513.12,192788.66
2024-08-01,R01,1152986.25,177748.54
2024-08-01,R02,1897413.65,306347.92
2024-08-01,R03,1131257.51,151619.97
2024-08-01,R04,897088.85,140717.82
2024-08-01,R05,1074203.91,120251.85
2024-08-01,R06,1713381.67,326663.87
2024-08-01,R07,581411.0,92946.25
2024-08-01,R08,529149.97,90220.92
2024-08-01,R09,814035.74,137855.36
2024-08-01,R10,1549541.11,277644.1
2024-09-01,R01,527772.56,101565.11
2024-09-01,R02,729853.08,82741.35
2024-09-01,R03,1265506.57,181452.14
2024-09-01,R04,1719153.08,314162.56
2024-09-01,R05,873279.17,170953.96
2024-09-01,R06,830014.43,129777.02
2024-09-01,R07,772342.4,150022.82
2024-09-01,R08,621602.9,70888.81
2024-09-01,R09,1067910.15,212849.23
2024-09-01,R10,1821267.49,323046.81
2024-10-01,R01,2274759.51,433137.41
2024-10-01,R02,1507645.37,208708.8
2024-10-01,R03,2029775.64,344147.47
2024-10-01,R04,1208169.07,143170.45
2024-10-01,R05,1977753.57,264270.29
2024-10-01,R06,2369677.12,312056.5
2024-10-01,R07,690688.24,127639.28
2024-10-01,R08,753648.9,95060.86
2024-10-01,R09,1673727.01,315850.0
2024-10-01,R10,842646.5,116225.5
2024-11-01,R01,2040897.48,403004.55
2024-11-01,R02,1470278.7,180771.91
2024-11-01,R03,466243.59,60923.6
2024-11-01,R04,709383.32,121296.94
2024-11-01,R05,688779.54,107153.22
2024-11-01,R06,1869416.27,303407.19
2024-11-01,R07,849537.28,154931.14
2024-11-01,R08,1913027.2,337665.68
2024-11-01,R09,707806.61,85742.17
2024-11-01,R10,2350597.76,342674.93
2024-12-01,R01,1058206.68,162934.8
2024-12-01,R02,1804657.44,353723.85
2024-12-01,R03,1028295.34,198700.35
2024-12-01,R04,488772.7,78187.91
2024-12-01,R05,1745073.67,208589.99
2024-12-01,R06,726950.42,107385.33
2024-12-01,R07,2430353.32,397712.32
2024-12-01,R08,2361860.39,430785.58
2024-12-01,R09,1401474.55,253146.54
2024-12-01,R10,474288.37,56830.64
2025-01-01,R01,1718557.21,312285.11
2025-01-01,R02,733857.22,115780.11
2025-01-01,R03,1349926.1,253916.38
2025-01-01,R04,1345126.81,197910.45
2025-01-01,R05,967403.67,143494.39
2025-01-01,R06,1425686.19,268134.73
2025-01-01,R07,1098929.86,145394.53
2025-01-01,R08,740492.9,131171.86
2025-01-01,R09,1697338.46,202789.56
2025-01-01,R10,459822.11,75180.47
2025-02-01,R01,591185.85,108908.13
2025-02-01,R02,862052.21,105988.0
2025-02-01,R03,1869601.28,233509.19
2025-02-01,R04,819788.14,101510.43
2025-02-01,R05,540558.61,60490.3
2025-02-01,R06,441402.43,55492.11
2025-02-01,R07,438080.19,71495.98
2025-02-01,R08,1473178.97,214239.62
2025-02-01,R09,874685.31,135932.54
2025-02-01,R10,1793758.15,334718.58
2025-03-01,R01,421733.85,53279.69
2025-03-01,R02,740629.04,98092.53
2025-03-01,R03,1292533.88,190601.72
2025-03-01,R04,431269.3,61941.17
2025-03-01,R05,1214192.37,144671.59
2025-03-01,R06,1725206.61,197840.77
2025-03-01,R07,1875989.08,223092.96
2025-03-01,R08,1741898.67,333118.58
2025-03-01,R09,1966291.62,358223.59
2025-03-01,R10,1636137.94,274582.39
2025-04-01,R01,1635343.99,199691.36
2025-04-01,R02,1234512.26,192929.65
2025-04-01,R03,1764994.04,267664.78
2025-04-01,R04,985397.67,165113.92
2025-04-01,R05,789664.47,96796.41
2025-04-01,R06,1138497.5,167951.2
2025-04-01,R07,733740.4,104980.69
2025-04-01,R08,954547.54,133135.14
2025-04-01,R09,976115.73,167615.57
2025-04-01,R10,839846.18,164103.6
2025-05-01,R01,1861974.23,285407.02
2025-05-01,R02,891795.99,141072.43
2025-05-01,R03,1750124.81,295303.57
2025-05-01,R04,1677246.52,264912.71
2025-05-01,R05,1394314.09,189534.7
2025-05-01,R06,1562573.72,200347.6
2025-05-01,R07,1496416.91,280525.37
2025-05-01,R08,567969.68,93882.08
2025-05-01,R09,506907.98,88868.27
2025-05-01,R10,489413.81,95061.09
2025-06-01,R01,576723.08,113210.29
2025-06-01,R02,1671458.89,273168.83
2025-06-01,R03,1641329.77,298000.38
2025-06-01,R04,1910944.65,253782.05
2025-06-01,R05,1323625.23,156921.63
2025-06-01,R06,1366673.41,171403.01
2025-06-01,R07,1282168.51,207094.25
2025-06-01,R08,1118875.5,175704.7
2025-06-01,R09,1610473.59,292996.72
2025-06-01,R10,1162052.81,190534.14
2025-07-01,R01,1886539.79,227848.77
2025-07-01,R02,543220.88,64042.38
2025-07-01,R03,1435474.42,211983.32
2025-07-01,R04,1627630.34,277365.83
2025-07-01,R05,900502.3,171863.56
2025-07-01,R06,1608178.04,216055.74
2025-07-01,R07,950916.83,131511.42
2025-07-01,R08,610059.22,75220.61
2025-07-01,R09,1894610.31,283076.31
2025-07-01,R10,982477.71,172593.54
2025-08-01,R01,1262438.56,245231.97
2025-08-01,R02,1637497.46,250771.7
2025-08-01,R03,970993.13,193030.37
2025-08-01,R04,1534304.39,300121.48
2025-08-01,R05,545489.65,101760.02
2025-08-01,R06,1401171.91,169503.9
2025-08-01,R07,1320625.7,226815.71
2025-08-01,R08,370299.43,55873.97
2025-08-01,R09,1711909.19,233816.52
2025-08-01,R10,1106604.33,165778.48
2025-09-01,R01,848180.2,163410.2
2025-09-01,R02,1639135.16,196619.11
2025-09-01,R03,1995107.19,377330.64
2025-09-01,R04,818448.92,151675.52
2025-09-01,R05,525592.23,105076.1
2025-09-01,R06,1448379.81,244068.3
2025-09-01,R07,499227.2,95219.1
2025-09-01,R08,397849.18,52386.6
2025-09-01,R09,585986.09,105424.24
2025-09-01,R10,677036.97,129962.28
2025-10-01,R01,1791054.89,202845.28
2025-10-01,R02,448699.03,51442.99
2025-10-01,R03,1687220.68,307299.18
2025-10-01,R04,929515.19,173305.13
2025-10-01,R05,555540.88,101156.63
2025-10-01,R06,2351078.07,421994.43
2025-10-01,R07,1877374.12,348099.37
2025-10-01,R08,520312.06,66683.4
2025-10-01,R09,695155.09,108032.52
2025-10-01,R10,1974450.51,329143.01
2025-11-01,R01,2192957.89,271859.17
2025-11-01,R02,1952656.0,248717.09
2025-11-01,R03,995939.92,173185.41
2025-11-01,R04,2459172.37,405859.16
2025-11-01,R05,549906.9,90991.89
2025-11-01,R06,524848.01,99497.07
2025-11-01,R07,1901005.21,238731.1
2025-11-01,R08,626674.57,79285.61
2025-11-01,R09,2458806.06,371944.72
2025-11-01,R10,2054666.96,343698.01
2025-12-01,R01,1618102.12,199126.43
2025-12-01,R02,2388675.44,327537.17
2025-12-01,R03,1629660.51,281898.41
2025-12-01,R04,1776543.38,345810.38
2025-12-01,R05,743655.42,115825.63
2025-12-01,R06,1270820.93,194022.82
2025-12-01,R07,683386.15,83419.93
2025-12-01,R08,1011030.81,138939.31
2025-12-01,R09,1320050.38,217793.63
2025-12-01,R10,1746422.55,256834.11
2026-01-01,R01,1024492.13,132760.42
2026-01-01,R02,1320705.31,182962.17
2026-01-01,R03,409498.73,60464.95
2026-01-01,R04,1132318.91,147544.96
2026-01-01,R05,1294555.59,208319.2
2026-01-01,R06,1508303.6,253870.67
2026-01-01,R07,1426514.54,197514.17
2026-01-01,R08,1649263.17,262930.47
2026-01-01,R09,1061840.02,176627.66
2026-01-01,R10,945084.6,147571.68
2026-02-01,R01,1565564.39,297106.95
2026-02-01,R02,1869744.38,290421.72
2026-02-01,R03,1208453.94,219924.52
2026-02-01,R04,868843.64,161052.69
2026-02-01,R05,1165333.72,140337.77
2026-02-01,R06,468897.59,87111.51
2026-02-01,R07,441687.06,59740.4
2026-02-01,R08,901314.57,113177.62
2026-02-01,R09,867924.06,153485.71
2026-02-01,R10,374226.69,69024.47
2026-03-01,R01,1763304.24,253040.4
2026-03-01,R02,603461.28,99013.29
2026-03-01,R03,547459.72,78200.65
2026-03-01,R04,1931408.15,385493.23
2026-03-01,R05,1623973.07,224086.42
2026-03-01,R06,1484647.33,257566.38
2026-03-01,R07,989938.8,165992.91
2026-03-01,R08,367700.61,47365.42
2026-03-01,R09,1216395.7,151730.3
2026-03-01,R10,623746.33,115559.85
2026-04-01,R01,1982069.45,317204.94
2026-04-01,R02,1734465.06,345382.21
